Name,Rating
Kurry Pot - Silpukhuri - Guwahati,3.5
Hotel Ahar - Chandmari - Guwahati,1.0
Raj Sweet House - Alambagh - Lucknow,
Pal Ji Bakery - PAU - Ludhiana,0.0
Olive Restaurant - Madhavadhara - Visakhapatnam,2.0
Pratap Lunch Home - Fort - Mumbai,
Lazzat Restaurant - Park Street - Kolkata,0.0
Pizza Corner - Ballygunge - Kolkata,0.0
Suprabhat Tiffins - Malakpet - Hyderabad,3.0
Ambience the Dinning Bar - Kandivali - Mumbai,2.5
Chokhi Dhani - Tonk Road - Jaipur,
Amantran Fine Dine - Mulund - Mumbai,
Jani Khaman and Locho House - Borivali - Mumbai,4.0
Mini Punjab - Bandra - Mumbai,
Limelight - Old Airport Road - Bangalore,
Oak Lounge - Koregaon Park - Pune,4.0
Nimboo Tamatar Mirchi - Sola - Ahmedabad,3.0
Pasha The Park - Nungambakkam - Chennai,
Italian House - Inorbit Mall - Vashi - Navi Mumbai,3.0
Sigree Global Grill - Malad - Mumbai,
T Nation - Linking Road - Bandra West - Mumbai,3.0
Stomach Chinese Restaurant - Bandra - Mumbai,
Istah Shawarma & Biryani - Koramangala - Bangalore,0.0
Aangan Restaurant - Sahid Nagar - Bhubaneswar,4.0
Shamia Restaurant - Santacruz - Mumbai,
Imperfecto - DLF Cyber City - Gurgaon,2.7
OMG Cuisine Culture - Liluah - Howrah,3.5
Pastry Palace - Vikaspuri - Delhi NCR,3.5
Hotel Hanuman Lunch Home - Dahisar - Mumbai,
Choposticks Restaurant - Dhole Patil Road - Pune,5.0
Barkaas Arabic Restaurant - Marathahalli - Bangalore,0.0
Domino's Pizza - Marathahalli - Bangalore,3.2
KS Bakers - Kukatpally - Hyderabad,
Global Street Cafe - Andheri West - Mumbai,0.0
Moktu - Andheri - Mumbai,3.6
URU Brewpark - J P Nagar - Bangalore,0.0
Savya Rasa - Kotturpuram - Chennai,
Padma Guest House - Laxmipuri - Kolhapur,4.0
Energy Store - Swaroop Nagar - Kanpur,2.5
Joshi Dahi Bada House - Sarafa Bazaar - Indore,4.5
The Afghan Grill (The Residency Hotel) - Race Course - Coimbatore,4.2
Viva Goa - Old Goa - Goa,5.0
Woodland Restaurant - Maharana Pratap Nagar - Bhopal,
Cream Stone - Himayath Nagar - Hyderabad,4.0
Paragon Restaurant - LuLu Mall - Edappally - Kochi,
Kareem's Fine Dining - Nirala Bazar - Aurangabad,1.0
Nakshatra Village - Dombivli - Thane,2.0
Hotel Muthu Rowther Biryani Hut - RS Puram - Coimbatore,0.0
Gujarat Bhawan - Chanakyapuri - Delhi NCR,3.0
Katani Vaishno Dhaba - Phase 3 - Mohali,
Dakshen - Park Town - Chennai,0.0
Hira Sweets - Shahdara - Delhi NCR,
Junction 45 - Dahisar East - Mumbai,3.5
Choki Dhani - Satellite - Ahmedabad,
Maharashtra Lunch Home - Kharghar - Navi Mumbai,3.0
Green Chili - Bandra West - Mumbai,0.0
Nom Nom - Bandra West - Mumbai,
The Koramangala Club - Koramangala - Bangalore,1.5
Flavours - Makarpura - Vadodara,3.5
The Kebab Tales - Sector 6 - Dwarka - New Delhi,
Bhavani Hotel - Kuvempunagar - Mysore,0.0
Kathleen - Burrabazar - Kolkata,3.0
Blue Sea - Railway Station Road - Secunderabad,
Apni Rasoi - Tri Nagar - Delhi NCR,2.5
Bollywood Blues - Paschim Vihar - Delhi NCR,0.0
Chandini Chowk - Koramangala - Bangalore,
Swathi Deluxe Restaurant - Shanthi Nagar - Bangalore,3.0
Raj Fast Food & Ice Cream Corner - Ghatkopar - Mumbai,3.0
G Thal - Khandari - Agra,4.0
Ramba Bar - Town Hall - Coimbatore,3.0
Milestone's Resto Bar - Dadar - Mumbai,1.0
Downtown Cafe - Broad Bean Hotel - Vyttila - Kochi,5.0
GrillerZ - Taj Express Highway - Noida,0.0
Omega Food Court - Koramangala - Bangalore,
Todi Mill Social - Lower Parel - Mumbai,4.5
Opal Inn - Nungambakkam - Chennai,
Cenora - Fort - Mumbai,
Bukhara - Chanakyapuri - Delhi,
Dosa Empire - Forum Sujana Mall - Kukatpally - Hyderabad,0.0
Bikaner Sweet & Namkin - Vashi - Navi Mumbai,4.0
Pa Pa Ya - Palladium Mall - Lower Parel - Mumbai,
Upvaas - Vijay Nagar - Indore,
